"Description","start_time","end_time","start_time_buffer","end_time_buffer"
"JENNY'S APPARTMENT DAY INT","01:43:20:04","01:46:58:02","01:43:20:08","01:46:57:23"
"PARK DAY EXT","01:46:58:02","01:47:54:02","01:46:58:06","01:47:53:23"
"GUMP HOUSE DAY EXT","01:47:54:02","01:50:13:16","01:47:54:06","01:50:13:12"
"GUMP HOUSE DAY INT","01:50:13:16","01:50:58:19","01:50:13:20","01:50:58:15"
"VIETNAM NIGHT EXT","01:50:58:19","01:51:10:10","01:50:58:23","01:51:10:06"
"GUMP HOUSE DAY INT","01:51:10:10","01:51:16:07","01:51:10:14","01:51:16:03"
"BAYOU LA BATRE / ON THE BOAT DAY EXT","01:51:16:07","01:51:24:17","01:51:16:11","01:51:24:13"
"MOUNTAIN LAKE DAY EXT","01:51:24:17","01:51:32:24","01:51:24:21","01:51:32:20"
"GUMP HOUSE DAY INT","01:51:32:24","01:51:36:07","01:51:33:03","01:51:36:03"
"DESERT VALLEY DAY EXT","01:51:36:07","01:51:49:00","01:51:36:11","01:51:48:21"
"GUMP HOUSE DAY INT","01:51:49:00","01:52:19:05","01:51:49:04","01:52:19:01"
"JENNY'S GRAVE DAY EXT","01:52:19:05","01:52:34:17","01:52:19:09","01:52:34:13"
"OUTSIDE JENNY'S HOUSE DAY EXT","01:52:34:17","01:52:39:23","01:52:34:21","01:52:39:19"
"JENNY'S GRAVE DAY EXT","01:52:39:23","01:52:58:06","01:52:40:02","01:52:58:02"
"GUMP HOUSE NIGHT INT","01:52:58:06","01:53:06:20","01:52:58:10","01:53:06:16"
"JENNY'S GRAVE DAY EXT","01:53:06:20","01:53:20:14","01:53:06:24","01:53:20:10"
"GUMP HOUSE NIGHT EXT","01:53:20:14","01:53:27:07","01:53:20:18","01:53:27:03"
"RIVERSIDE DAY EXT","01:53:27:07","01:53:33:15","01:53:27:11","01:53:33:11"
"JENNY'S GRAVE DAY EXT","01:53:33:15","01:55:44:21","01:53:33:19","01:55:44:17"
"SCHOOL BUS STOP DAY EXT","01:55:44:21","01:58:02:05","01:55:45:00","01:58:02:01"
